%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
February,16:00,98520,-150,340,38.876,6000,7,150,8.05,8.95,lower,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
March,14:00,99740,-350,220,155.504,20000,7,1250,1.75,10.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
May,11:00,100130,-70,300,136.066,30000,7,800,7.15,14.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,15:00,100980,-90,50,58.314,15000,1,8000,9.15,22.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,13:00,100520,-110,190,9.719,25000,6,8000,11.85,24.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,13:00,100640,100,220,58.314,20000,8,1750,6.45,19.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
October,23:00,100250,50,270,58.314,13000,7,1750,9.65,11.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,11:00,99630,190,230,9.719,20000,7,450,13.25,17.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,13:00,100240,70,270,174.942,30000,5,1250,9.05,20.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
December,7:00,100120,120,0,0.0,15000,5,450,1.65,3.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,5:00,100290,-110,210,58.314,25000,7,3500,10.75,14.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,16:00,99920,50,290,9.719,15000,7,800,10.35,14.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,8:00,99470,-260,120,58.314,30000,7,250,18.75,21.95,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,6:00,99750,150,270,58.314,25000,7,450,14.85,17.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,10:00,100160,-10,240,19.438,20000,7,1250,12.75,19.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,6:00,100630,0,10,9.719,7000,1,8000,10.45,13.25,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,6:00,98650,170,210,136.066,11000,8,450,13.35,14.45,higher,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,17:00,101430,-90,350,38.876,25000,3,800,14.55,21.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
February,9:00,99140,-40,180,116.628,25000,7,250,7.35,9.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,4:00,100540,-40,280,19.438,4000,6,150,13.45,14.25,lower,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,9:00,99960,-250,120,77.752,4000,8,150,9.85,10.75,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
March,10:00,100010,0,110,136.066,10000,6,3500,4.25,9.45,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,13:00,100420,-10,20,9.719,5000,8,150,9.05,10.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,10:00,100100,150,350,38.876,7000,8,450,-2.85,-1.25,higher,'solid precipitation not in showers',snow,'cloud covering the sky','stratocumulus not cumulogenitus',NO
July,15:00,100310,-220,80,58.314,30000,8,1750,11.75,24.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,12:00,100270,-40,240,9.719,30000,7,1750,6.45,19.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,17:00,99880,110,10,155.504,1800,8,150,5.05,7.25,higher,drizzle,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
June,17:00,99820,30,270,116.628,20000,7,800,10.85,17.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,14:00,101230,-170,50,77.752,25000,2,1250,14.85,26.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,2:00,100240,120,140,58.314,30000,6,2250,11.15,17.85,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,6:00,100600,40,20,58.314,6000,7,3500,13.65,15.25,higher,'no meteors during the past hour',rain,'cloud covering the sky','no low clouds',NO
June,22:00,100150,20,230,58.314,20000,7,1250,14.15,19.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,8:00,100010,110,230,38.876,12000,7,1250,15.85,17.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,23:00,100430,160,280,19.438,15000,7,1250,14.55,18.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,3:00,99570,-360,130,77.752,20000,7,8000,1.45,6.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,16:00,100260,140,280,9.719,25000,7,800,11.75,17.95,higher,'showers of rain',showers,rain,'stratocumulus cumulogenitus',NO
April,11:00,100260,-70,240,38.876,20000,6,1750,2.15,15.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,20:00,101940,90,60,38.876,25000,3,3500,-0.25,8.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,20:00,100250,150,190,116.628,25000,0,?,6.95,13.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
May,23:00,100500,70,10,58.314,18000,1,1750,11.65,14.65,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,13:00,100480,-10,150,38.876,20000,6,800,13.45,21.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,7:00,100090,50,230,77.752,25000,7,1250,14.95,17.85,higher,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
May,7:00,99750,-10,250,77.752,2000,8,250,8.95,10.05,'same or lower',mist,'cloud covering the sky','cloud covering the sky','stratus fractus',NO
June,19:00,100740,10,310,58.314,30000,5,1250,3.85,14.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
December,1:00,100030,-240,210,77.752,2500,8,30,7.35,7.35,lower,drizzle,drizzle,drizzle,'stratus fractus',NO
April,7:00,100630,80,40,19.438,6000,3,8000,7.75,10.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,16:00,100330,-130,100,38.876,35000,1,1750,14.65,31.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
August,22:00,99190,60,140,77.752,30000,3,3500,15.05,27.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,4:00,100890,50,210,77.752,3000,8,80,1.25,1.95,?,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,2:00,102170,-30,40,9.719,7000,8,80,?,?,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
May,8:00,99910,10,140,77.752,35000,3,8000,9.85,18.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,6:00,100840,-50,10,58.314,7000,1,8000,4.55,6.55,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,16:00,100100,-110,30,9.719,14000,2,800,16.65,23.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
January,11:00,99440,180,220,9.719,5000,8,150,1.35,2.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
June,8:00,101040,70,360,38.876,25000,1,8000,7.75,14.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,2:00,100660,-50,230,58.314,30000,7,2250,9.75,13.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,13:00,100680,-30,280,77.752,30000,4,1250,6.35,19.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,20:00,101020,290,310,77.752,15000,7,1250,4.15,9.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,23:00,99730,-110,360,155.504,18000,7,3500,3.95,7.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,16:00,101150,0,290,77.752,25000,7,1750,13.05,25.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
June,16:00,101050,-90,270,77.752,20000,3,1750,8.35,24.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,5:00,100280,-30,120,9.719,2200,8,80,10.45,10.45,lower,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
May,15:00,100910,0,40,38.876,30000,6,1250,6.35,16.25,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
November,8:00,100860,-50,190,9.719,8000,8,150,5.85,6.75,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
May,14:00,100730,-10,230,116.628,25000,6,1250,8.25,18.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,19:00,99900,-50,90,58.314,30000,3,1750,13.45,25.25,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,1:00,100200,40,20,38.876,800,1,800,13.35,13.95,higher,fog,'fog or ice fog or thick haze','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,9:00,101180,100,140,58.314,10000,0,?,13.25,20.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,14:00,101240,-190,290,116.628,10000,7,250,6.25,8.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
April,5:00,100130,-200,100,38.876,7000,7,1750,6.05,9.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,9:00,98690,160,150,116.628,20000,5,450,6.15,7.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,7:00,100710,150,280,38.876,15000,7,450,1.85,3.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,11:00,99960,-90,100,58.314,12000,0,?,14.55,21.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,11:00,101500,150,10,58.314,10000,5,250,2.05,4.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,10:00,101600,160,240,77.752,25000,8,450,6.35,9.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,11:00,100190,70,350,58.314,1000,0,?,-1.05,-0.75,higher,fog,'fog or ice fog or thick haze','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,17:00,99820,-70,210,155.504,12000,7,450,6.15,8.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,15:00,100330,280,350,155.504,9000,7,450,0.65,3.25,higher,rain,rain,rain,'stratocumulus not cumulogenitus',NO
July,6:00,99900,70,260,58.314,30000,4,1250,13.65,16.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,7:00,100850,190,290,77.752,20000,7,450,11.05,13.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,4:00,100430,160,310,58.314,18000,0,?,9.35,10.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
October,15:00,99920,190,330,155.504,25000,4,800,5.75,10.35,higher,'no meteors during the past hour',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
April,15:00,100390,-80,130,9.719,20000,4,8000,6.75,19.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,10:00,100240,250,260,77.752,15000,6,250,11.15,13.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus fractus',NO
October,21:00,100680,200,300,58.314,25000,1,1750,4.55,6.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,12:00,98300,-310,40,58.314,8000,7,80,3.15,3.55,lower,rain,rain,drizzle,'stratus fractus',NO
January,23:00,101560,10,30,116.628,7000,8,250,2.65,4.15,higher,rain,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
May,8:00,100700,30,70,19.438,9000,7,450,13.15,15.85,'same or higher','showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
July,13:00,101030,-80,10,58.314,25000,4,8000,13.05,26.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,18:00,100050,-80,50,116.628,30000,1,8000,12.15,24.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,23:00,101090,-50,140,9.719,15000,3,3500,5.85,13.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,16:00,100240,-70,230,77.752,22000,6,1250,7.05,17.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
January,4:00,102190,120,240,77.752,20000,0,?,1.45,2.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
July,5:00,100610,30,10,58.314,40000,0,?,12.55,18.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,8:00,100100,-80,160,58.314,25000,7,3500,9.75,18.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,19:00,99710,110,270,19.438,10000,7,450,7.45,8.65,higher,'showery precipitation',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
August,1:00,100720,10,260,77.752,30000,0,?,9.25,13.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,11:00,101230,20,190,116.628,13000,7,1250,-0.45,8.05,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
April,14:00,100090,-30,60,58.314,20000,1,8000,-1.95,17.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,3:00,99320,-30,350,77.752,3500,8,150,8.35,8.85,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
January,5:00,100200,-10,120,136.066,11000,0,?,4.75,5.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
December,6:00,102130,50,330,58.314,16000,0,?,-0.05,2.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
June,12:00,100360,-50,360,58.314,20000,6,1250,9.45,21.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
August,23:00,100860,160,320,38.876,25000,7,1250,10.15,18.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,6:00,100600,10,70,9.719,12000,1,8000,10.75,16.45,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,13:00,99180,-90,20,77.752,12000,1,3500,6.05,19.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,4:00,100710,50,20,77.752,3500,1,8000,16.15,17.65,?,mist,'cloud covering the sky','cloud covering the sky','no low clouds',NO
March,0:00,101370,10,150,38.876,18000,8,8000,-1.25,5.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,14:00,100340,-30,320,174.942,10000,7,800,10.65,16.85,'same or lower','showery precipitation',showers,rain,'cumulus mediocris',NO
April,11:00,99420,80,250,77.752,20000,8,450,7.85,12.55,higher,precipitation,'cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,4:00,101400,50,10,58.314,6000,0,?,1.15,3.25,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
May,18:00,101060,?,30,38.876,16000,8,450,10.35,12.95,?,'no meteors during the past hour',rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,16:00,98600,190,260,155.504,30000,7,800,4.55,9.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,5:00,99790,50,240,77.752,8000,7,250,11.75,12.55,higher,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
July,21:00,99600,140,140,38.876,15000,7,1250,11.25,13.05,higher,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
May,15:00,100170,-320,110,9.719,30000,7,3500,12.05,21.15,lower,'no meteors during the past hour',rain,'cloud covering the sky','no low clouds',NO
July,9:00,100930,-30,100,58.314,12000,2,8000,15.85,25.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,9:00,100160,70,180,77.752,6000,6,80,12.45,12.95,higher,'fog or ice fog preceding hour','fog or ice fog or thick haze','cloud covering the sky','stratus nebulosus',NO
September,15:00,100480,230,190,9.719,25000,1,8000,11.55,29.55,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,11:00,100710,0,240,9.719,25000,7,800,12.35,19.35,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,9:00,100900,160,300,58.314,6000,7,250,14.75,16.95,higher,'showery precipitation',showers,rain,'cumulus mediocris',NO
August,0:00,100680,50,20,58.314,10000,0,?,13.25,15.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,0:00,101510,-50,240,77.752,13000,7,1750,-0.35,7.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,10:00,100750,60,260,77.752,25000,7,800,10.55,20.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
February,18:00,100430,40,250,136.066,8000,8,150,9.95,10.85,higher,rain,rain,'cloud covering the sky','stratus fractus',NO
September,15:00,100770,-110,80,9.719,40000,4,2250,7.35,23.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
August,23:00,100450,-40,40,58.314,10000,7,1750,12.95,13.95,lower,rain,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,20:00,99060,330,330,9.719,15000,7,450,3.65,6.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,15:00,101080,110,220,58.314,11000,8,450,10.05,12.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,21:00,99940,-160,150,9.719,15000,7,3500,13.45,19.05,lower,rain,rain,'cloud covering the sky','no low clouds',NO
March,20:00,101750,20,70,38.876,9000,0,?,6.15,11.25,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,6:00,100360,50,250,38.876,15000,1,8000,-2.15,2.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,22:00,100190,60,190,9.719,25000,1,8000,10.25,12.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,4:00,100110,40,130,77.752,3000,7,30,4.15,4.45,?,drizzle,drizzle,drizzle,'stratus fractus',NO
July,21:00,100620,130,250,58.314,18000,7,1750,13.05,17.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,5:00,102010,-90,260,9.719,4000,8,80,6.75,7.65,lower,drizzle,drizzle,'cloud covering the sky','stratus nebulosus',NO
May,21:00,99680,120,290,38.876,9000,8,450,11.15,12.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,13:00,99880,80,210,77.752,15000,7,150,8.25,11.35,higher,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
February,16:00,99690,90,150,9.719,20000,7,3500,-2.35,14.05,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,14:00,101600,-30,20,136.066,20000,4,800,12.35,21.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
December,9:00,101820,150,30,116.628,5000,8,450,-0.55,1.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,10:00,101260,-10,170,58.314,18000,7,3500,-0.35,11.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,6:00,100310,30,300,58.314,8000,8,450,14.45,17.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,4:00,100190,-410,240,116.628,20000,8,450,7.35,9.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,13:00,100490,90,30,174.942,20000,6,800,2.05,5.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,15:00,99930,-120,200,116.628,20000,7,1750,14.25,27.95,lower,'showers of rain',showers,rain,'cumulunimbus calvus',NO
February,1:00,100590,-90,130,19.438,7000,8,800,3.85,6.65,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
March,11:00,99950,0,60,9.719,10000,7,800,-4.05,2.25,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,1:00,101440,-150,110,58.314,20000,0,?,4.15,6.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,11:00,99760,350,10,174.942,30000,7,450,1.15,5.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,12:00,101550,30,60,58.314,20000,0,?,-8.05,-0.35,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
July,22:00,100750,10,20,58.314,20000,0,?,13.65,16.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,8:00,98210,220,260,58.314,4500,8,250,3.65,4.25,higher,rain,rain,rain,'stratus nebulosus',NO
April,20:00,100330,-30,50,58.314,15000,1,8000,1.65,10.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,1:00,99300,-50,210,19.438,15000,7,800,6.35,9.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,20:00,100610,200,270,38.876,25000,3,800,12.05,15.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,10:00,99410,-90,130,116.628,5000,8,150,13.65,14.75,lower,rain,rain,'cloud covering the sky','stratus nebulosus',NO
September,20:00,101270,10,70,9.719,25000,3,8000,8.95,15.95,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,1:00,100570,60,250,19.438,6000,0,?,-2.25,-1.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,8:00,101260,-20,310,38.876,5000,7,1750,-0.85,0.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,21:00,100360,40,200,9.719,12000,7,800,7.35,11.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,8:00,100530,80,20,77.752,8000,5,3500,13.25,16.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,7:00,100980,90,10,58.314,5000,0,?,13.65,18.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,18:00,100140,-60,110,9.719,7000,7,2250,3.05,8.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,22:00,100250,30,50,19.438,15000,1,1750,11.15,14.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,10:00,99850,200,290,155.504,30000,5,450,7.45,11.75,higher,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
